ContractID,BusinessName,PartnerName,StartDate,EndDate,ContractValue,PaymentTerms,ScopeOfWork,ContractStatus,RenewalDate,TerminationClause,ConfidentialityClause,Jurisdiction,ContractDocument
a983ecd8-d05c-46a7-bf8b-0d1b32734d16,Lopez-Finley,"Ingram, Miller and Webb",12/9/2022,2/25/2024,347431,Net 45,productize enterprise schemas,Pending,1/7/2024,Mind quickly bit manager.,Quite none it style everyone military.,Kansas,campaign.pdf
f3c0e02c-1303-4928-b3af-774ef3129fc7,Hale-Farley,"Johnson, Gonzalez and Miller",11/3/2019,2/16/2024,287005.08,Net 30,mesh killer content,Pending,6/25/2024,Yard loss media environmental.,Effect wonder personal do approach avoid simple reduce.,Illinois,edge.pdf
d80416dc-46e3-4029-a1a5-061aabf1d321,Landry Inc,Thomas-Turner,6/14/2019,9/25/2023,178159.06,Due upon receipt,benchmark granular solutions,Terminated,4/25/2024,Part wide cold small listen us at appear.,Senior college north prove process trial.,Pennsylvania,door.pdf
55640ac1-4bfa-463b-b150-7244eae63a2c,Collins LLC,Harris-Miller,11/2/2021,12/5/2024,928622.62,Net 30,streamline scalable functionalities,Active,5/11/2025,Voice red Congress why second along.,Year wind at move far cup opportunity whom.,Alabama,son.pdf
8a8a7d73-e74b-4cfe-b042-0519c7a48fdd,"Leon, Herrera and Kelly",Torres LLC,1/27/2023,2/20/2028,846276.03,Net 30,brand synergistic models,Expired,3/11/2024,Not forward environmental Mr.,Usually state start kid hospital.,New York,raise.pdf
59180d01-1480-4e0d-8b81-d9df4a7bf5d2,Roberts-Peck,Simmons-Cummings,2/7/2022,1/4/2024,722170.82,Due upon receipt,innovate bleeding-edge bandwidth,Pending,5/19/2025,Happy couple under edge visit.,Trial later treatment else skin magazine.,North Dakota,push.pdf
af0734a9-edc5-41b5-8747-0197cbc771d5,Le Ltd,Gardner Ltd,2/11/2020,8/30/2025,106223.85,Net 45,syndicate virtual channels,Expired,8/14/2023,Claim character and share key fund.,Piece onto leave human training federal government.,South Carolina,college.pdf
bb84199b-a2db-4fc9-9bfb-7ff64242d96a,Sanchez-Edwards,Sanders-Burns,9/19/2020,7/30/2026,590815.07,Net 30,implement granular functionalities,Terminated,1/22/2024,Model number point eight marriage military country.,Body at beat total kid.,North Carolina,young.pdf
6a910b7a-fe09-46e4-b9aa-ca78c8576fc2,Michael-Santos,Massey-Acevedo,9/2/2018,6/16/2024,569882.04,Due upon receipt,mesh magnetic bandwidth,Terminated,11/2/2023,Forget security authority police build trouble buy.,East tend arm prevent.,Idaho,keep.pdf
871b786c-e255-4828-a522-203f45908a64,Romero LLC,Smith-Smith,10/6/2020,3/15/2026,522223.93,Net 30,iterate ubiquitous metrics,Terminated,9/16/2023,Back want arm fund especially just analysis.,Return meet better boy father.,Kentucky,determine.pdf
725e709f-1242-45bf-af3a-54ac5bfb3a55,Sherman-Alexander,"Tran, Spears and Beard",1/5/2021,7/17/2024,843187.16,Net 60,extend 24/7 infrastructures,Terminated,9/11/2023,Effect popular notice season call.,Candidate finish star my enter.,Michigan,wish.pdf
7d8f1519-ec79-49ea-aeb2-5749c9fc910b,"Thompson, Gilbert and Williams",Powell-Harris,9/23/2022,8/28/2027,842751.32,Net 30,transition scalable systems,Pending,7/30/2024,Sometimes clear choice.,Very speech save might over could feel all.,Vermont,scene.pdf
01e9bb99-2084-4e68-97e9-2367860d7c32,"Patterson, Wilson and Ibarra",Miller Inc,12/21/2020,9/19/2026,341832.74,Net 30,empower user-centric partnerships,Active,1/13/2025,Audience accept gun.,Tough event despite all summer everybody.,South Carolina,themselves.pdf
d60129cf-41cc-45ba-8656-20853d883e36,Cox-Morrison,Miller and Sons,11/3/2022,1/24/2027,399595.47,Net 60,streamline cutting-edge e-tailers,Expired,11/29/2023,Value role seven paper sea ago stock start.,Nearly material social student national free claim test.,Idaho,protect.pdf
6e877b5c-eeb3-4357-bda8-98d4b7ef4f34,"Caldwell, Wright and Anderson",Gonzalez-Valdez,12/4/2021,5/19/2028,488318.01,Due upon receipt,unleash proactive relationships,Pending,2/3/2025,Fall source glass goal.,Baby allow small have well writer citizen.,Massachusetts,idea.pdf
f58e2d4f-de2b-44db-809f-e2508ab9ce24,"Baldwin, Brennan and Wood","Preston, Choi and Rhodes",2/23/2020,7/29/2023,97080.59,Net 60,grow intuitive action-items,Expired,5/22/2024,Year become store professional win after.,Hundred serve take plant fill person physical.,Delaware,suggest.pdf
9eeb8683-d5c5-4d5e-bc6f-1c32a697b310,Campbell-Harper,Woods-Wise,4/17/2022,11/28/2025,553558.98,Due upon receipt,exploit B2C architectures,Active,2/2/2025,Baby interesting certain although road where quickly.,Model dinner suddenly item.,Montana,community.pdf
1be8975e-f3d5-4d07-bfe4-5d3d89363675,Sandoval-Jenkins,Miller-Shah,2/12/2019,1/2/2024,822267.74,Net 60,mesh visionary e-business,Active,7/27/2023,Car baby site authority.,About significant strategy open weight less hair.,New Hampshire,environmental.pdf
9b844949-a314-4e6e-85ce-1a8a1516e33f,"Wright, Krueger and Williams",Chang Inc,5/18/2020,5/17/2025,931513.05,Net 45,aggregate enterprise e-business,Terminated,11/21/2023,Stock situation identify go yourself.,Drug sure control admit.,Pennsylvania,position.pdf
34e5ecb5-62ef-4fa3-b4ed-c34c8439ecb9,"Brown, Dennis and Thompson",Osborne-Johnson,4/10/2020,1/10/2028,856587.1,Net 60,facilitate granular channels,Active,4/19/2024,Alone bag story seem.,Individual check support really type scientist account race.,Tennessee,want.pdf
b7bda0c8-3879-4965-80a9-fdc38e0c4323,Colon Inc,Rhodes LLC,8/26/2019,9/3/2027,462449.7,Net 30,e-enable out-of-the-box solutions,Expired,2/23/2024,Tv doctor food.,Other seek doctor.,Delaware,past.pdf
223ce911-3987-4e1f-bc94-4d20a8aa2beb,Miller Ltd,Watkins-Jimenez,11/27/2018,2/24/2026,465344.49,Net 45,aggregate out-of-the-box mindshare,Pending,3/1/2025,Decade method partner wear firm eye theory can.,Actually officer treat yes fine.,Washington,time.pdf
8db1b22b-1048-4cc9-bc78-c45239fa5135,Jones-Matthews,Ramos Ltd,11/26/2022,8/6/2027,623726.26,Net 45,revolutionize world-class e-business,Pending,10/8/2023,Former standard city term peace discover maintain.,During low capital night key fact me message.,Mississippi,recently.pdf
1d3e0918-9a57-41fe-b8ef-05f9da2bfdc1,Larsen-Strickland,"Chavez, Rodriguez and Nelson",9/26/2021,11/2/2027,350761.13,Net 30,expedite scalable bandwidth,Pending,12/8/2024,According spend even.,Car well agree month share physical born.,Maryland,indeed.pdf
eb523f03-f36d-42e2-9f21-69af28cdd51b,Wiggins PLC,Gonzalez Group,7/8/2020,6/3/2024,157835.33,Net 60,deploy dot-com systems,Pending,4/27/2025,Should sense model stock always common.,Determine would remember up radio tonight improve.,Virginia,any.pdf
fcb4977e-7a7b-4423-9d48-bf0b0f90c045,"Wilson, Whitaker and Wilson","Graham, Mitchell and Cunningham",8/11/2022,1/24/2025,703796.87,Due upon receipt,re-contextualize transparent systems,Pending,8/16/2023,Real operation join industry.,Son arm among car respond.,Idaho,force.pdf
6ad68a70-b4f2-4a33-84b8-3292d5896ca7,"Dickson, Gonzales and Hartman",Blackburn-Malone,3/16/2021,10/21/2026,575887.5,Net 45,matrix proactive users,Expired,11/24/2023,Small news look member.,Suffer thus meet score maintain.,Pennsylvania,from.pdf
45127950-27c5-46f1-a016-0796cce5a0b4,Cook-Thompson,Martinez-Fisher,4/11/2023,8/8/2026,823401.19,Net 60,streamline ubiquitous solutions,Pending,2/22/2025,Community tell ask bag serious.,Administration part color common myself.,California,great.pdf
ab6c2831-684c-4b4b-a676-a7c504128019,Perez-Lamb,Parker-White,9/10/2020,4/3/2024,104091.33,Net 45,enable enterprise synergies,Pending,4/9/2024,Scene decade her less.,Carry parent most hospital recently check fall key.,New Mexico,walk.pdf
bda6916d-c0ac-4b40-91da-b4dcf836ea77,"Walters, Peters and Garrett",Lambert-Hanson,7/20/2020,11/26/2027,145340.36,Net 30,engineer wireless applications,Terminated,5/14/2024,Mrs specific cause want want money under.,Source may partner quite.,North Carolina,point.pdf
69a0dcb9-a885-4dd1-a30d-476186a17e12,Jimenez-Walker,"Hays, Foster and Rogers",6/26/2023,11/27/2026,370685.74,Net 30,matrix wireless supply-chains,Pending,11/14/2023,Step sing lawyer top serve contain.,Several road safe response.,Michigan,protect.pdf
c4e34859-34d8-48d9-ba4e-f8329eb72587,Johnson Inc,Gonzales-Dixon,10/16/2022,3/5/2025,273793.24,Net 60,redefine bricks-and-clicks models,Pending,7/22/2025,Study key value would open.,Decision alone during cut not develop.,Montana,unit.pdf
b48704ad-14e2-4780-83c6-83d7ee793a2b,Smith-Ford,Heath-Ross,11/7/2019,4/2/2026,773241.67,Net 60,engage enterprise supply-chains,Active,11/24/2024,These traditional yes.,Perhaps skin same forget either some.,Massachusetts,between.pdf
a11ccd66-f4f7-4b49-81f4-b824b52c5430,"Hamilton, May and Lowe",Burch Inc,9/11/2022,7/24/2027,5902.42,Net 30,cultivate ubiquitous platforms,Terminated,4/12/2024,Several child of same PM.,Right long current before source both explain.,Hawaii,language.pdf
0aeb8a2d-de4a-4688-9024-ea29870edbb1,Wright-Dorsey,"Jimenez, Hudson and Bradley",11/29/2021,2/8/2026,19409.05,Net 45,transition B2C vortals,Expired,1/25/2025,Growth attention have information herself modern stuff.,Fear range car them attorney.,Alaska,from.pdf
83cb1183-3d5a-4e9d-bdb9-4e91d2e4400f,Barnes Inc,Martin-White,7/11/2019,7/12/2024,314545.37,Net 30,benchmark user-centric e-tailers,Terminated,1/30/2025,Ready effect bit response whatever person.,We section four right place agree out card.,Rhode Island,cover.pdf
b31c3867-43d2-4264-b0bd-f40253269180,"Shaw, Calhoun and Alexander",Brown and Sons,3/22/2020,1/19/2028,411792.87,Net 30,engineer dynamic solutions,Expired,8/31/2024,Child camera eye company.,Discover author teacher growth relate skin sell.,West Virginia,risk.pdf
eed15086-e523-4dba-b1d7-a1789e9131ba,"Hernandez, Myers and Wilkinson",Estrada-Powers,2/14/2021,1/2/2024,107364.94,Net 45,incentivize scalable infrastructures,Pending,11/18/2024,Risk fill citizen build collection.,Commercial start movie shake live fund.,Oklahoma,season.pdf
8566463f-f6ea-406f-aac1-95ed367efba8,Kane-Gregory,Moore-Davis,3/2/2023,8/6/2025,954251.07,Net 60,iterate strategic schemas,Terminated,4/15/2024,Tend hand agent clearly weight doctor.,Huge already news realize these Mr consider.,Oklahoma,matter.pdf
ef29ffdf-7953-4f2c-9f94-78dae6a96fa7,"Evans, Dennis and Shaffer",Rios Group,7/17/2023,5/21/2024,912731.45,Net 45,deploy viral synergies,Terminated,2/6/2025,Property suffer interesting shoulder most.,Kid hundred beat important option gun guy.,North Carolina,sense.pdf
71003233-3d90-461c-9679-0bdabcdd125b,"Schultz, Montoya and Larson","Clark, Jones and Wong",4/28/2020,12/21/2024,676552.63,Due upon receipt,utilize seamless web-readiness,Active,10/9/2024,Few later member per six every rule culture.,News building down.,Wisconsin,field.pdf
c59541f6-22c3-4a67-823d-4cd263558209,Gonzalez-Henderson,Mejia PLC,11/27/2022,10/5/2026,505238.86,Net 45,drive real-time systems,Terminated,8/3/2024,Almost series draw international next month.,Dog cell friend woman everyone song.,New Hampshire,view.pdf
4a8a4d6a-34c7-4be0-a088-430432b1e9d9,"Cowan, Shah and Mcdonald",Greene-Walter,11/12/2020,6/14/2028,181832.54,Due upon receipt,reinvent next-generation applications,Terminated,5/27/2024,Study recognize modern too forget type.,Station body after movement focus because happy.,Alaska,officer.pdf
d172e60e-3edb-4425-8ee6-a5e1959612c1,Garner-Garcia,Moore-Walter,11/12/2022,2/20/2028,701268.73,Net 60,orchestrate impactful relationships,Expired,7/16/2024,Apply school fight away option visit.,Campaign individual education woman last.,Oklahoma,half.pdf
